Number of cards,Name,Set
1,Barrin's Unmaking,[INV]
2,Exotic Curse,[INV]
2,Hooded Kavu,[INV]
2,Kavu Scout,[INV]
1,Overload,[INV]
4,Phantasmal Terrain,[INV]
1,Phyrexian Reaper,[INV]
1,Pouncing Kavu,[INV]
1,Probe,[INV]
4,Savage Offensive,[INV]
1,Scavenged Weaponry,[INV]
2,Shimmering Wings,[INV]
1,Shoreline Raider,[INV]
3,Slimy Kavu,[INV]
5,Stormscape Apprentice,[INV]
4,Stun,[INV]
4,Tidal Visionary,[INV]
4,Tower Drake,[INV]
1,Tribal Flames,[INV]
2,Turf Wound,[INV]
1,Viashino Grappler,[INV]
2,Vodalian Merchant,[INV]
2,Vodalian Serpent,[INV]
4,Worldly Counsel,[INV]
2,Zap,[INV]
