Number of cards,Name,Set
2,Blanchwood Armor,[8ED]
2,Coral Eel,[8ED]
1,Craw Wurm,[8ED]
1,Eager Cadet,[8ED]
1,Elvish Champion,[8ED]
2,Enormous Baloth,[8ED]
3,Forest (347),[8ED]
2,Forest (348),[8ED]
2,Forest (349),[8ED]
1,Forest (350),[8ED]
1,Fugitive Wizard,[8ED]
1,Giant Cockroach,[8ED]
3,Giant Octopus,[8ED]
4,Glory Seeker,[8ED]
1,Goblin Glider,[8ED]
2,Goblin Raider,[8ED]
2,Grizzly Bears,[8ED]
2,Hill Giant,[8ED]
1,Holy Day,[8ED]
2,Honor Guard,[8ED]
1,Index,[8ED]
2,Island (335),[8ED]
3,Island (336),[8ED]
3,Island (337),[8ED]
10,Island (338),[8ED]
2,Lava Axe,[8ED]
1,Merchant of Secrets,[8ED]
3,Mountain (343),[8ED]
2,Mountain (344),[8ED]
2,Mountain (345),[8ED]
2,Mountain (346),[8ED]
1,Naturalize,[8ED]
2,Norwood Ranger,[8ED]
1,Ogre Taskmaster,[8ED]
1,Patagia Golem,[8ED]
3,Plains (331),[8ED]
2,Plains (332),[8ED]
2,Plains (333),[8ED]
2,Plains (334),[8ED]
1,Raise Dead,[8ED]
1,Rampant Growth,[8ED]
1,Reflexes,[8ED]
1,Rewind,[8ED]
1,Rod of Ruin,[8ED]
2,Sacred Nectar,[8ED]
1,Samite Healer,[8ED]
1,Sanctimony,[8ED]
1,Sea Eagle,[8ED]
1,Sea Monster,[8ED]
1,Silverback Ape,[8ED]
2,Spined Wurm,[8ED]
1,Stone Rain,[8ED]
1,Stream of Life,[8ED]
8,Swamp (340),[8ED]
1,Swamp (341),[8ED]
2,Swamp (342),[8ED]
1,Sword Dancer,[8ED]
1,Trade Routes,[8ED]
2,Vengeance,[8ED]
2,Vizzerdrix,[8ED]
3,Volcanic Hammer,[8ED]
