Number of cards,Name,Set
1,Akki Underminer,[CHK]
1,Azami Lady of Scrolls,[CHK]
1,Azusa Lost but Seeking,[CHK]
1,Battle-Mad Ronin,[CHK]
1,Brutal Deceiver,[CHK]
1,Burr Grafter,[CHK]
1,Call to Glory,[CHK]
1,Callous Deceiver,[CHK]
1,Cloudcrest Lake,[CHK]
1,Commune with Nature,[CHK]
1,Consuming Vortex,[CHK]
1,Crushing Pain,[CHK]
1,Desperate Ritual,[CHK]
2,Devoted Retainer,[CHK]
1,Devouring Rage,[CHK]
1,Dripping-Tongue Zubera,[CHK]
1,Eerie Procession,[CHK]
1,Feral Deceiver,[CHK]
1,Floating-Dream Zubera,[CHK]
2,Forest (303),[CHK]
2,Forest (304),[CHK]
2,Forest (305),[CHK]
1,Hanabi Blast,[CHK]
1,Hankyu,[CHK]
2,Hisoka's Guard,[CHK]
2,Hundred-Talon Kami,[CHK]
1,Indomitable Will,[CHK]
1,Innocence Kami,[CHK]
2,Island (291),[CHK]
2,Island (292),[CHK]
2,Island (293),[CHK]
1,Joyous Respite,[CHK]
1,Kami of Ancient Law,[CHK]
1,Kami of Fire's Roar,[CHK]
1,Kami of the Waning Moon,[CHK]
1,Kitsune Blademaster,[CHK]
1,Kitsune Healer,[CHK]
1,Kitsune Mystic,[CHK]
1,Kodama's Might,[CHK]
1,Kodama's Reach,[CHK]
1,Lifted by Clouds,[CHK]
1,Midnight Covenant,[CHK]
1,Moonring Mirror,[CHK]
2,Mountain (299),[CHK]
2,Mountain (300),[CHK]
2,Mountain (301),[CHK]
1,Nezumi Cutthroat,[CHK]
1,No-Dachi,[CHK]
1,Order of the Sacred Bell,[CHK]
1,Orochi Hatchery,[CHK]
2,Orochi Sustainer,[CHK]
1,Otherworldly Journey,[CHK]
2,Plains (287),[CHK]
2,Plains (289),[CHK]
2,Plains (290),[CHK]
1,Ragged Veins,[CHK]
1,Reito Lantern,[CHK]
1,Rend Flesh,[CHK]
2,Rend Spirit,[CHK]
2,Soratami Mirror-Mage,[CHK]
1,Soulless Revival,[CHK]
1,Stone Rain,[CHK]
1,Strange Inversion,[CHK]
1,Struggle for Sanity,[CHK]
1,Student of Elements,[CHK]
2,Swamp (296),[CHK]
2,Swamp (297),[CHK]
2,Swamp (298),[CHK]
2,Terashi's Cry,[CHK]
1,Thief of Hope,[CHK]
1,Thoughtbind,[CHK]
1,Time of Need,[CHK]
2,Uncontrollable Anger,[CHK]
1,Vigilance,[CHK]
2,Villainous Ogre,[CHK]
1,Vine Kami,[CHK]
1,Waking Nightmare,[CHK]
2,Wandering Ones,[CHK]
1,Wear Away,[CHK]
1,Yamabushi's Storm,[CHK]
