Number of cards,Name,Set
3,Acidic Slime,[M12]
1,Aegis Angel,[M12]
4,Aether Adept,[M12]
2,Alabaster Mage,[M12]
1,Alluring Siren,[M12]
1,Amphin Cutthroat,[M12]
2,Angel's Mercy,[M12]
1,Arachnus Spinner,[M12]
5,Arachnus Web,[M12]
1,Arbalest Elite,[M12]
1,Armored Warhorse,[M12]
7,Assault Griffin,[M12]
5,Auramancer,[M12]
1,Autumn's Veil,[M12]
4,Aven Fleetwing,[M12]
3,Azure Mage,[M12]
3,Belltower Sphinx,[M12]
5,Benalish Veteran,[M12]
1,Birds of Paradise,[M12]
3,Blood Ogre,[M12]
3,Blood Seeker,[M12]
3,Bloodrage Vampire,[M12]
3,Bonebreaker Giant,[M12]
1,Bountiful Harvest,[M12]
3,Brindle Boar,[M12]
3,Brink of Disaster,[M12]
4,Cancel,[M12]
1,Carnage Wurm,[M12]
1,Celestial Purge,[M12]
1,Chandra's Outrage,[M12]
1,Chandra's Phoenix,[M12]
2,Chasm Drake,[M12]
2,Child of Night,[M12]
1,Consume Spirit,[M12]
5,Coral Merfolk,[M12]
3,Crimson Mage,[M12]
2,Crown of Empires,[M12]
2,Crumbling Colossus,[M12]
2,Cudgel Troll,[M12]
1,Deathmark,[M12]
3,Demon's Horn,[M12]
1,Devouring Swarm,[M12]
1,Diabolic Tutor,[M12]
1,Disentomb,[M12]
2,Divination,[M12]
4,Divine Favor,[M12]
4,Doom Blade,[M12]
5,Drifting Shade,[M12]
1,Dungrove Elder,[M12]
7,Duskhunter Bat,[M12]
9,Elite Vanguard,[M12]
2,Elixir of Immortality,[M12]
1,Fiery Hellhound,[M12]
4,Fireball,[M12]
1,Firebreathing,[M12]
1,Flameblast Dragon,[M12]
2,Flight,[M12]
2,Fling,[M12]
2,Fog,[M12]
1,Frost Breath,[M12]
2,Garruk's Companion,[M12]
1,Garruk's Horde,[M12]
6,Giant Spider,[M12]
1,Gideon's Avenger,[M12]
1,Gideon's Lawkeeper,[M12]
3,Gladecover Scout,[M12]
4,Goblin Arsonist,[M12]
2,Goblin Bangchuckers,[M12]
1,Goblin Chieftain,[M12]
3,Goblin Fireslinger,[M12]
1,Goblin Grenade,[M12]
1,Goblin Piker,[M12]
2,Goblin Tunneler,[M12]
1,Goblin War Paint,[M12]
4,Gorehorn Minotaurs,[M12]
3,Gravedigger,[M12]
1,Greater Basilisk,[M12]
4,Greatsword,[M12]
2,Griffin Rider,[M12]
5,Griffin Sentinel,[M12]
1,Guardians' Pledge,[M12]
1,Harbor Serpent,[M12]
2,Hideous Visage,[M12]
3,Hunter's Insight,[M12]
3,Ice Cage,[M12]
2,Incinerate,[M12]
4,Jade Mage,[M12]
1,Kite Shield,[M12]
1,Kraken's Eye,[M12]
1,Lava Axe,[M12]
1,Levitation,[M12]
2,Lifelink,[M12]
7,Lightning Elemental,[M12]
4,Llanowar Elves,[M12]
2,Lord of the Unreal,[M12]
1,Lure,[M12]
1,Lurking Crocodile,[M12]
1,Mana Leak,[M12]
2,Manalith,[M12]
4,Manic Vandal,[M12]
5,Merfolk Looter,[M12]
1,Merfolk Mesmerist,[M12]
1,Mesa Enchantress,[M12]
1,Mind Control,[M12]
3,Naturalize,[M12]
4,Negate,[M12]
3,Oblivion Ring,[M12]
1,Onyx Mage,[M12]
4,Overrun,[M12]
5,Pacifism,[M12]
4,Peregrine Griffin,[M12]
1,Personal Sanctuary,[M12]
3,Phantasmal Bear,[M12]
2,Phantasmal Dragon,[M12]
2,Plummet,[M12]
3,Ponder,[M12]
2,Pride Guardian,[M12]
5,Rampant Growth,[M12]
2,Reassembling Skeleton,[M12]
1,Reclaim,[M12]
2,Rites of Flourishing,[M12]
2,Roc Egg,[M12]
1,Royal Assassin,[M12]
3,Runeclaw Bear,[M12]
1,Rune-Scarred Demon,[M12]
2,Rusted Sentinel,[M12]
4,Sacred Wolf,[M12]
2,Scepter of Empires,[M12]
3,Serra Angel,[M12]
4,Shock,[M12]
3,Siege Mastodon,[M12]
3,Skywinder Drake,[M12]
3,Slaughter Cry,[M12]
1,Smallpox,[M12]
1,Solemn Simulacrum,[M12]
3,Sorin's Thirst,[M12]
2,Sphinx of Uthuun,[M12]
2,Spirit Mantle,[M12]
4,Stampeding Rhino,[M12]
1,Stave Off,[M12]
3,Stingerfling Spider,[M12]
2,Stonehorn Dignitary,[M12]
