Number of cards,Name,Set
2,Abbey Griffin,[ISD]
2,Ambush Viper,[ISD]
1,Ancient Grudge,[ISD]
3,Armored Skaab,[ISD]
4,Ashmouth Hound,[ISD]
1,Balefire Dragon,[ISD]
1,Battleground Geist,[ISD]
2,Bitterheart Witch,[ISD]
1,Blazing Torch,[ISD]
2,Bloodcrazed Neonate,[ISD]
2,Boneyard Wurm,[ISD]
2,Brain Weevil,[ISD]
4,Bramblecrush,[ISD]
6,Brimstone Volley,[ISD]
1,Bump in the Night,[ISD]
1,Burning Vengeance,[ISD]
1,Chapel Geist,[ISD]
2,Cloistered Youth,[ISD]
3,Cobbled Wings,[ISD]
1,Corpse Lunge,[ISD]
1,Crossway Vampire,[ISD]
1,Curiosity,[ISD]
1,Curse of the Nightly Hunt,[ISD]
1,Curse of the Pierced Heart,[ISD]
1,Darkthicket Wolf,[ISD]
1,Dead Weight,[ISD]
1,Dearly Departed,[ISD]
1,Delver of Secrets,[ISD]
2,Demonmail Hauberk,[ISD]
3,Deranged Assistant,[ISD]
1,Devil's Play,[ISD]
1,Disciple of Griselbrand,[ISD]
4,Doomed Traveler,[ISD]
1,Dream Twist,[ISD]
2,Elder Cathar,[ISD]
1,Elder of Laurels,[ISD]
1,Falkenrath Marauders,[ISD]
1,Fiend Hunter,[ISD]
10,Forest (262),[ISD]
9,Forest (263),[ISD]
9,Forest (264),[ISD]
3,Frightful Delusion,[ISD]
2,Furor of the Bitten,[ISD]
1,Gallows Warden,[ISD]
3,Geistflame,[ISD]
1,Geist-Honored Monk,[ISD]
3,Ghost Quarter,[ISD]
2,Ghostly Possession,[ISD]
1,Ghoulcaller's Chant,[ISD]
2,Gnaw to the Bone,[ISD]
1,Grave Bramble,[ISD]
1,Grimgrin Corpse-Born,[ISD]
3,Grizzled Outcasts,[ISD]
2,Gutter Grime,[ISD]
1,Heartless Summoning,[ISD]
1,Hinterland Harbor,[ISD]
1,Hollowhenge Scavenger,[ISD]
2,Hysterical Blindness,[ISD]
1,Infernal Plunge,[ISD]
1,Inquisitor's Flail,[ISD]
1,Intangible Virtue,[ISD]
1,Invisible Stalker,[ISD]
4,Island (253),[ISD]
3,Island (254),[ISD]
4,Island (255),[ISD]
2,Kindercatch,[ISD]
2,Lost in the Mist,[ISD]
3,Lumberknot,[ISD]
1,Make a Wish,[ISD]
3,Makeshift Mauler,[ISD]
1,Manor Gargoyle,[ISD]
1,Markov Patrician,[ISD]
1,Mausoleum Guard,[ISD]
1,Maw of the Mire,[ISD]
1,Memory's Journey,[ISD]
1,Midnight Haunting,[ISD]
1,Mirror-Mad Phantasm,[ISD]
1,Moan of the Unhallowed,[ISD]
1,Moment of Heroism,[ISD]
3,Moon Heron,[ISD]
1,Moonmist,[ISD]
2,Morkrut Banshee,[ISD]
8,Mountain (259),[ISD]
9,Mountain (260),[ISD]
7,Mountain (261),[ISD]
3,Mulch,[ISD]
2,Naturalize,[ISD]
1,Nephalia Drownyard,[ISD]
2,Night Revelers,[ISD]
4,Nightbird's Clutches,[ISD]
4,Orchard Spirit,[ISD]
1,Paraselene,[ISD]
2,Pitchburn Devils,[ISD]
5,Plains (250),[ISD]
5,Plains (251),[ISD]
4,Plains (252),[ISD]
2,Prey Upon,[ISD]
1,Purify the Grave,[ISD]
3,Rage Thrower,[ISD]
2,Rally the Peasants,[ISD]
3,Ranger's Guile,[ISD]
2,Rebuke,[ISD]
3,Riot Devils,[ISD]
2,Rolling Temblor,[ISD]
1,Scourge of Geier Reach,[ISD]
1,Screeching Bat,[ISD]
1,Selhoff Occultist,[ISD]
3,Sensory Deprivation,[ISD]
1,Sharpened Pitchfork,[ISD]
3,Silverchase Fox,[ISD]
2,Skaab Goliath,[ISD]
1,Skeletal Grimace,[ISD]
3,Skirsdag Cultist,[ISD]
1,Slayer of the Wicked,[ISD]
1,Smite the Monstrous,[ISD]
1,Somberwald Spider,[ISD]
2,Spectral Flight,[ISD]
1,Spidery Grasp,[ISD]
1,Splinterfright,[ISD]
1,Stitched Drake,[ISD]
3,Stromkirk Noble,[ISD]
1,Swamp (258),[ISD]
2,Think Twice,[ISD]
3,Thraben Purebloods,[ISD]
2,Tormented Pariah,[ISD]
1,Travel Preparations,[ISD]
3,Traveler's Amulet,[ISD]
1,Tribute to Hunger,[ISD]
2,Typhoid Rats,[ISD]
2,Unruly Mob,[ISD]
1,Urgent Exorcism,[ISD]
2,Vampire Interloper,[ISD]
2,Vampiric Fury,[ISD]
4,Victim of Night,[ISD]
1,Village Cannibals,[ISD]
1,Village Ironsmith,[ISD]
2,Villagers of Estwald,[ISD]
1,Voiceless Spirit,[ISD]
3,Walking Corpse,[ISD]
1,Witchbane Orb,[ISD]
1,Woodland Cemetery,[ISD]
2,Wreath of Geists,[ISD]
