Number of cards,Name,Set
4,About Face,[ULG]
3,Acidic Slime,[M12]
1,Aegis Angel,[M12]
4,Aether Adept,[M12]
5,Air Bladder,[NMS]
2,Alabaster Mage,[M12]
1,Alluring Siren,[M12]
1,Amphin Cutthroat,[M12]
2,Angel's Mercy,[M12]
1,Arachnus Spinner,[M12]
5,Arachnus Web,[M12]
1,Arbalest Elite,[M12]
1,Armored Warhorse,[M12]
7,Assault Griffin,[M12]
5,Auramancer,[M12]
1,Autumn's Veil,[M12]
4,Aven Fleetwing,[M12]
3,Azure Mage,[M12]
2,Balloon Peddler,[MMQ]
1,Barrin's Unmaking,[INV]
3,Belltower Sphinx,[M12]
5,Benalish Veteran,[M12]
1,Birds of Paradise,[M12]
2,Blaster Mage,[MMQ]
1,Blighted Shaman,[6ED]
5,Blockade Runner,[MMQ]
3,Blood Ogre,[M12]
3,Blood Seeker,[M12]
1,Blood Vassal,[USG]
3,Bloodrage Vampire,[M12]
1,Bola Warrior,[NMS]
3,Bonebreaker Giant,[M12]
2,Bouncing Beebles,[ULG]
1,Bountiful Harvest,[M12]
3,Brindle Boar,[M12]
3,Brink of Disaster,[M12]
8,Buoyancy,[MMQ]
1,Buried Ruin,[M12]
1,Caldera Kavu,[PLS]
4,Cancel,[M12]
1,Carnage Wurm,[M12]
1,Carrion Beetles,[USG]
3,Cavern Crawler,[MMQ]
1,Celestial Purge,[M12]
1,Ceremonial Guard,[MMQ]
1,Chandra's Outrage,[M12]
1,Chandra's Phoenix,[M12]
2,Chasm Drake,[M12]
2,Child of Night,[M12]
4,Cloak of Mists,[USG]
2,Coastal Hornclaw,[PCY]
1,Colos Yearling,[UDS]
1,Consume Spirit,[M12]
4,Coral Merfolk,[USG]
5,Coral Merfolk,[M12]
1,Corrupt,[USG]
1,Corrupt,[7ED]
2,Crash,[MMQ]
3,Crimson Mage,[M12]
2,Crown of Empires,[M12]
2,Crumbling Colossus,[M12]
2,Cudgel Troll,[M12]
7,Curfew,[USG]
1,Deathmark,[M12]
1,Dehydration,[MMQ]
3,Demon's Horn,[M12]
1,Devouring Swarm,[M12]
1,Diabolic Tutor,[M12]
1,Disentomb,[M12]
2,Disruptive Student,[USG]
2,Divination,[M12]
4,Divine Favor,[M12]
4,Doom Blade,[M12]
1,Drake Hatchling,[MMQ]
2,Dream Cache,[6ED]
4,Drifting Meadow,[USG]
5,Drifting Shade,[M12]
4,Dromosaur,[USG]
1,Dungrove Elder,[M12]
7,Duskhunter Bat,[M12]
1,Dying Wail,[UDS]
9,Elite Vanguard,[M12]
2,Elixir of Immortality,[M12]
2,Exotic Curse,[INV]
2,Expunge,[USG]
3,Falter,[USG]
3,Fatigue,[UDS]
1,Fiery Hellhound,[M12]
1,Fiery Mantle,[USG]
4,Fireball,[M12]
1,Firebreathing,[6ED]
1,Firebreathing,[M12]
1,Flailing Soldier,[MMQ]
1,Flameblast Dragon,[M12]
1,Flaming Sword,[MMQ]
2,Flight,[M12]
2,Fling,[M12]
1,Flowstone Strike,[NMS]
2,Fog,[M12]
14,Forest (246),[M12]
11,Forest (247),[M12]
12,Forest (248),[M12]
10,Forest (249),[M12]
1,Frost Breath,[M12]
2,Garruk's Companion,[M12]
1,Garruk's Horde,[M12]
6,Giant Spider,[M12]
1,Gideon's Avenger,[M12]
1,Gideon's Lawkeeper,[M12]
3,Gladecover Scout,[M12]
4,Goblin Arsonist,[M12]
2,Goblin Bangchuckers,[M12]
1,Goblin Chieftain,[M12]
1,Goblin Digging Team,[6ED]
2,Goblin Elite Infantry,[6ED]
3,Goblin Fireslinger,[M12]
1,Goblin Gardener,[UDS]
1,Goblin Grenade,[M12]
1,Goblin Masons,[UDS]
4,Goblin Matron,[USG]
3,Goblin Medics,[ULG]
2,Goblin Patrol,[USG]
1,Goblin Piker,[M12]
1,Goblin Raider,[USG]
1,Goblin Spelunkers,[USG]
2,Goblin Tunneler,[M12]
2,Goblin War Buggy,[USG]
1,Goblin War Paint,[M12]
4,Gorehorn Minotaurs,[M12]
3,Gravedigger,[M12]
1,Greater Basilisk,[M12]
4,Greatsword,[M12]
2,Griffin Rider,[M12]
5,Griffin Sentinel,[M12]
1,Guardians' Pledge,[M12]
5,Gulf Squid,[PCY]
1,Harbor Serpent,[M12]
2,Hazy Homunculus,[PCY]
1,Headlong Rush,[USG]
3,Heat Ray,[USG]
1,Hidden Horror,[6ED]
2,Hideous Visage,[M12]
1,Highway Robber,[MMQ]
2,Hooded Kavu,[INV]
1,Hoodwink,[MMQ]
1,Hulking Ogre,[UDS]
3,Hunter's Insight,[M12]
3,Ice Cage,[M12]
2,Incinerate,[M12]
5,Infiltrate,[NMS]
12,Island (234),[M12]
